AD508_DARK 1 2 3 4 5
angle -7.187 -2.185 -4.043 0.027 -1.606
whole 308.445 308.455 307.765 307.781 308.912
RPEtoOLM 66.407 66.026 65.829 65.72 65.949
RNFL 30.476 31.108 31.748 31.329 31.493
-3.75 535.105 451.385 521.861 525.807 600.158
-2.5 590.874 607.469 630.811 705.88 683.779
-1.25 1088.688 1123.183 1157.625 1187.872 1284.74
0 1692.486 1706.172 1704.848 1771.606 2004.354
1.25 2194.857 2217.558 2197.315 2349.848 2596.757
2.5 2560.405 2608.997 2597.654 2772.659 3065.916
3.75 2785.338 2851.725 2881.437 2999.931 3319.042
5 2900.288 2935.289 3003.631 3117.084 3422.554
6.25 2932.949 2929.944 3026.875 3116.9 3433.807
7.5 2882.931 2853.912 2961.438 3040.847 3327.977
8.75 2742.9 2691.241 2786.828 2852.231 3127.874
10 2541.449 2415.351 2564.833 2572.85 2806.067
11.25 2368.59 2177.48 2346.022 2333.369 2539.727
12.5 2284.969 2043.316 2226.472 2183.681 2397.745
13.75 2244.87 1992.016 2174.129 2116.54 2340.456
15 2233.173 1970.959 2153.12 2090.007 2331.548
16.25 2243.704 1970.924 2149.959 2091.754 2345.187
17.5 2257.216 1983.324 2153.777 2108.013 2364.121
18.75 2265.787 1998.517 2166.735 2129.501 2382.776
20 2269.507 1993.428 2175.647 2147.224 2392.571
21.25 2266.318 1978.481 2176.336 2146.519 2389.946
22.5 2264.408 1970.905 2179.78 2129.435 2399.728
23.75 2279.651 1988.918 2190.846 2128.073 2410.893
25 2305.428 2013.732 2205.301 2140.825 2423.83
26.25 2326.218 2032.859 2224.278 2161.679 2440.751
27.5 2335.871 2049.498 2240.363 2181.082 2460.999
28.75 2348.746 2072.869 2253.744 2202.571 2473.599
30 2373.846 2094.766 2271.204 2226.131 2492.036
31.25 2394.371 2106.112 2289.905 2251.774 2526.011
32.5 2401.653 2106.307 2296.611 2255.603 2538.219
33.75 2392.281 2100.689 2275.026 2234.718 2524.05
35 2350.187 2069.723 2224.207 2192.382 2477.537
36.25 2256.013 1982.969 2128.244 2111.356 2367.046
37.5 2126.503 1853.893 2012.922 1992.96 2230.69
38.75 1999.209 1732.723 1891.862 1875.545 2095.019
40 1916.504 1663.109 1807.738 1790.654 2006.275
41.25 1886.552 1634.282 1775.198 1741.046 1964.726
42.5 1885.686 1625.329 1776.569 1724.797 1955.619
43.75 1906.544 1648.685 1793.26 1736.966 1958.932
45 1952.597 1695.809 1831.762 1781.006 1982.614
46.25 2009.636 1747.443 1897.065 1835.906 2051.977
47.5 2080.181 1807.136 1978.598 1905.042 2133.508
48.75 2155.648 1878.188 2054.425 1960.908 2200.508
50 2231.037 1953.99 2125.752 2027.042 2284.41
51.25 2297.961 2018.033 2179.961 2094.23 2372.921
52.5 2368.354 2043.484 2213.753 2126.313 2422.147
53.75 2440.348 2035.4 2220.89 2114.685 2400.96
55 2477.384 1987.469 2188.722 2059.148 2319.858
56.25 2460.032 1897.738 2125.738 1943.409 2188.23
57.5 2408.679 1788.504 2036.212 1806.555 2039.125
58.75 2351.072 1670.224 1926.425 1666.095 1891.353
60 2278.004 1579.965 1831.023 1567.362 1791.069
61.25 2179.833 1501.063 1746.277 1500.698 1715.506
62.5 2082.715 1446.323 1660.248 1456.052 1645.031
63.75 1987.421 1408.514 1592.761 1428.314 1607.275
65 1894.631 1380.253 1535.413 1403.026 1588.256
66.25 1796.086 1358.951 1490.898 1397.772 1568.116
67.5 1679.384 1328.178 1451.5 1396.196 1572.838
68.75 1582.294 1304.108 1417.899 1388.611 1563.943
70 1534.766 1294.968 1398.923 1385.132 1562.049
71.25 1514.977 1296.934 1389.305 1374.264 1570.731
72.5 1519.012 1305.673 1411.415 1385.409 1579.893
73.75 1564.137 1343.583 1471.599 1440.659 1624.115
75 1699.449 1486.925 1607.93 1567.523 1784.963
76.25 1882.184 1681.153 1769.073 1736.474 1960.791
77.5 1961.906 1753.234 1824.885 1818.276 2052.084
78.75 1919.292 1710.928 1792.919 1780.45 2014.618
80 1828.386 1639.89 1762.037 1744.477 1956.499
81.25 1877.749 1789.356 1941.338 1975.925 2149.336
82.5 2268.544 2429.094 2466.113 2615.114 2802.805
83.75 2780.726 3234.298 3080.592 3382.662 3546.462
85 3135.903 3816.001 3512.013 3943.532 4033.681
86.25 3149.486 3923.854 3581.64 4087.55 4064.999
87.5 2883.72 3515.934 3298.183 3792.354 3683.035
88.75 2558.168 2968.556 2856.38 3274.929 3176.539
90 2418.682 2701.286 2583.277 2914.689 2908.842
91.25 2465.816 2871.03 2573.886 2961.617 2910.671
92.5 2713.231 3171.593 2763.927 3239.544 3104.918
93.75 3146.465 3393.817 3068.532 3489.691 3417.48
95 3588.586 3516.241 3380.333 3676.712 3765.897
96.25 3996.836 3596.332 3668.712 3790.462 4043.492
97.5 4350.435 3729.218 3955.953 3926.952 4301.561
98.75 4581.557 3928.406 4188.25 4077.105 4548.32
100 4576.804 4012.748 4248.727 4184.12 4660.69
101.25 4326.092 3869.182 4086.899 4085.514 4491.592
102.5 3955.935 3577.611 3782.207 3794.45 4123.5
103.75 3559.726 3202.703 3396.665 3412.315 3685.642
105 3234.35 2842.505 3040.883 3024.912 3272.403
106.25 3000.003 2605.835 2780.535 2725.6 2959.619
107.5 2782.24 2408.998 2581.729 2515.486 2734.037
