AD613_LIGHT 1 2 3 4 5
angle -1.543 -2.316 -1.38 -2.38 -3.103
whole 339.485 340.124 339.092 340.455 339.821
RPEtoOLM 71.512 72.601 71.478 71.949 71.258
RNFL 34.005 33.091 34.296 33.805 33.774
-3.75 1036.468 1020.519 1044.061 934.833 1017.574
-2.5 1206.764 1188.489 1146.458 1107.317 1167.899
-1.25 1561.738 1566.141 1468.001 1591.035 1503.096
0 2181.133 2099.536 2115.329 2247.292 1985.991
1.25 2794.243 2624.733 2761.255 2860.601 2485.552
2.5 3171.937 2928.01 3140.794 3292.045 2785.275
3.75 3377.979 3103.208 3311.05 3532.088 2959.924
5 3462.333 3258.061 3437.542 3664.698 3066.953
6.25 3448.559 3284.521 3462.289 3710.089 3066.642
7.5 3365.394 3203.469 3407.046 3586.302 3021.473
8.75 3149.869 2998.538 3162.146 3350.136 2821.496
10 2737.089 2658.762 2717.653 2951.062 2484.266
11.25 2426.46 2395.568 2400.554 2650.354 2202.473
12.5 2286.152 2260.748 2254.693 2496.178 2069.957
13.75 2254.489 2211.534 2212.537 2438.847 2041.852
15 2256.021 2200.821 2222.722 2425.432 2047.055
16.25 2260.337 2206.035 2237.036 2424.747 2059.976
17.5 2276.935 2233.416 2227.096 2448.608 2073.058
18.75 2302.292 2260.102 2240.517 2480.796 2097.731
20 2308.001 2276.986 2260.136 2518.512 2110.543
21.25 2312.97 2288.075 2285.028 2552.313 2105.865
22.5 2314.323 2280.392 2285.99 2532.163 2100.322
23.75 2319.515 2277.412 2281.356 2523.157 2114.892
25 2348.869 2310.592 2302.23 2574.012 2147.356
26.25 2396.221 2350.434 2329.814 2619.419 2177.63
27.5 2410.549 2377.088 2346.274 2625.507 2208.659
28.75 2412.567 2390.286 2361.907 2627.869 2234.106
30 2444.209 2414.43 2408.998 2665.85 2273.162
31.25 2477.289 2451.658 2426.745 2700.314 2302.886
32.5 2451.306 2460.623 2400.433 2701.235 2303.206
33.75 2432.023 2449.509 2402.455 2698.297 2307.784
35 2417.461 2438.97 2388.68 2675.449 2284.712
36.25 2325.652 2343.108 2285.421 2557.824 2183.606
37.5 2153.637 2174.689 2113.896 2370.454 2031.972
38.75 1982.487 2002.136 1940.462 2195.992 1882.632
40 1888.761 1906.237 1835.068 2094.118 1801.332
41.25 1829.473 1877.512 1786.756 2057.802 1756.386
42.5 1831.34 1874.581 1786.979 2038.93 1748.595
43.75 1847.336 1878.162 1821.418 2038.852 1767.954
45 1874.346 1908.388 1830.874 2072.227 1803.252
46.25 1930.946 1996.145 1895.871 2151.797 1871.539
47.5 2027.803 2102.017 1998.509 2305.151 1974.993
48.75 2099.598 2169.39 2070.362 2399.878 2038.161
50 2134.803 2197.429 2111.055 2432.074 2072.092
51.25 2210.987 2253.041 2151.219 2493.9 2117.871
52.5 2249.242 2314.624 2181.903 2535.965 2159.66
53.75 2237.435 2382.426 2198.155 2559.555 2184.342
55 2216.471 2406.068 2180.846 2534.288 2187.974
56.25 2125.678 2318.757 2064.138 2419.406 2101.112
57.5 1979.022 2180.923 1902.611 2258.654 1960.637
58.75 1855.708 2073.728 1782.854 2112.709 1852.825
60 1771.71 2023.182 1677.977 2007.342 1778.599
61.25 1704.616 1978.676 1629.745 1915.95 1723.875
62.5 1644.49 1910.501 1604.732 1885.316 1677.57
63.75 1622.217 1844.93 1564.404 1840.062 1640.075
65 1608.181 1792.101 1472.359 1804.862 1612.108
66.25 1572.695 1731.944 1393.819 1752.343 1580.978
67.5 1513.424 1644.492 1401.973 1656.149 1534.909
68.75 1447.552 1560.65 1384.9 1603.897 1485.985
70 1401.584 1520.232 1346.604 1582.127 1463.639
71.25 1380.208 1506.777 1321.56 1591.988 1454.622
72.5 1363.254 1506.345 1331.508 1530.211 1446.025
73.75 1349.563 1519.568 1246.831 1563.533 1445.738
75 1442.434 1625.242 1332.592 1705.803 1523.625
76.25 1646.377 1812.524 1585.447 1924.884 1717.635
77.5 1741.304 1900.766 1693.96 2020.008 1812.452
78.75 1686.226 1832.527 1648.388 1963.327 1748.128
80 1612.621 1762.268 1583.777 1909.424 1683.229
81.25 1774.991 1984.287 1731.282 2105.363 1894.01
82.5 2376.794 2703.017 2392.196 2837.593 2630.699
83.75 3238.152 3610.506 3279.995 3826.247 3712.153
85 3829.584 4194.136 3918.311 4470.316 4494.482
86.25 3806.847 4082.869 3933.864 4432.003 4555.316
87.5 3245.929 3509.301 3367.513 3813.111 3882.61
88.75 2693.878 2923.446 2729.911 3160.042 3116.885
90 2642.953 2860.188 2631.475 3053.403 3051.798
91.25 2867.168 3057.801 2875.649 3228.216 3450.169
92.5 3016.16 3137.093 3053.543 3323.459 3750.219
93.75 3019.929 3201.972 2999.017 3330.718 3699.899
95 3057.913 3419.693 2958.264 3553.806 3535.994
96.25 3247.418 3684.061 3152.207 3945.664 3559.07
97.5 3492.087 3958.992 3409.396 4224.144 3740.751
98.75 3715.525 4190.059 3647.637 4415.477 3926.092
100 3800.878 4241.43 3736.099 4482.777 4017.509
101.25 3676.244 4115.683 3658.065 4361.057 3929.552
102.5 3448.623 3890.257 3477.254 4086.409 3716.616
103.75 3117.094 3531.602 3129.325 3624.804 3335.689
105 2728.131 3142.609 2707.077 3146.107 2888.761
106.25 2444.899 2854.661 2416.366 2843.805 2604.017
107.5 2229.173 2624.322 2230.298 2608.012 2417.872
