CO127_DARK 1 2 3 4 5
angle -1.983 -2.931 -1.752 5.869 2.877
whole 295.988 295.869 295.246 293.359 295.537
RPEtoOLM 65.03 65.079 64.69 62.613 63.125
RNFL 33.835 34.766 32.861 34.083 34.545
-3.75 430.867 496.454 518.853 467.515 536.083
-2.5 702.225 745.803 853.61 571.79 667.33
-1.25 1368.482 1342.285 1436.618 916.239 1083.573
0 2060.916 1965.659 2058.403 1381.819 1552.106
1.25 2644.798 2589.462 2706.501 1787.231 1986.852
2.5 3071.539 3020.486 3199.668 2089.013 2314.673
3.75 3428.503 3257.945 3455.299 2284.073 2461.876
5 3616.498 3398.64 3584.183 2391.338 2550.234
6.25 3663.959 3453.24 3610.576 2451.725 2605.106
7.5 3592.361 3390.447 3536.998 2429.332 2568.259
8.75 3333.861 3139.761 3277.718 2264.154 2411.388
10 2916.871 2726.935 2857.419 1961.106 2074.766
11.25 2603.434 2462.327 2559.213 1779.863 1869.775
12.5 2437.97 2304.617 2386.345 1685.877 1735.083
13.75 2371.418 2238.41 2320.829 1643.707 1678.757
15 2356.015 2222.506 2304.557 1627.911 1659.522
16.25 2361.464 2219.615 2304.535 1625.799 1651.592
17.5 2366.437 2231.803 2315.767 1637.071 1662.905
18.75 2392.243 2239.028 2331.789 1660.427 1684.755
20 2421.404 2251.457 2342.091 1683.167 1716.959
21.25 2438.556 2263.753 2351.026 1681.608 1727.695
22.5 2431.172 2273.53 2361.374 1677.413 1729.417
23.75 2407.79 2274.18 2363.818 1671.25 1718.62
25 2401.275 2271.488 2368.331 1668.942 1714.498
26.25 2430.97 2282.84 2386.19 1683.017 1723.431
27.5 2466.387 2298.415 2407.848 1708.562 1735.983
28.75 2493.354 2320.457 2437.48 1728.255 1749.237
30 2511.021 2338.399 2456.743 1732.133 1764.095
31.25 2512.904 2340.203 2461.135 1729.567 1772.163
32.5 2512.734 2327.598 2446.225 1721.326 1770.434
33.75 2499.822 2308.593 2424.206 1707.731 1759.343
35 2450.104 2261.31 2371.78 1664.892 1718.665
36.25 2327.888 2158.221 2262.898 1588.804 1634.928
37.5 2162.839 2022.123 2126.053 1486.05 1537.161
38.75 2021.42 1877.249 1971.094 1383.303 1441.538
40 1928.984 1796.264 1881.262 1319.432 1376.206
41.25 1874.867 1753.665 1841.091 1286.416 1344.908
42.5 1864.348 1730.832 1822.853 1274.609 1329.802
43.75 1876.203 1728.439 1824.063 1275.65 1324.336
45 1898.093 1751.002 1841.63 1296.973 1334.382
46.25 1938.574 1802.963 1885.585 1324.322 1369.64
47.5 2001.296 1872.518 1950.124 1361.02 1414.553
48.75 2073.567 1946.771 2020.497 1405.592 1471.372
50 2169.164 2022.12 2098.877 1453.909 1530.587
51.25 2237.742 2067.094 2173.371 1504.031 1588.383
52.5 2255.76 2072.889 2185.371 1526.681 1615.969
53.75 2226.003 2069.47 2173.151 1497.55 1593.451
55 2163.241 2035.539 2136.253 1413.986 1535.625
56.25 2076.253 1949.266 2049.741 1304.6 1438.878
57.5 1960.116 1835.417 1943.589 1180.56 1318.082
58.75 1853.136 1737.717 1845.69 1040.308 1205.019
60 1772.845 1662.746 1762.137 984.98 1129.201
61.25 1703.855 1608.862 1717.943 956.031 1083.072
62.5 1651.181 1562.839 1678.279 934.399 1074.184
63.75 1610.287 1512.988 1630.767 947.516 1064.817
65 1576.715 1471.697 1575.547 918.22 1063.077
66.25 1542.861 1429.208 1530.557 913.453 1050.962
67.5 1512.724 1389.417 1488.849 917.368 1035.045
68.75 1475.129 1348.736 1443.82 921.446 1036.178
70 1440.933 1312.856 1407.982 940.359 1027.84
71.25 1415.167 1298.956 1379.681 933.3 1020.18
72.5 1402.637 1284.355 1371.126 909.699 1017.638
73.75 1420.41 1312.462 1398.534 923.89 1031.797
75 1572.517 1427.338 1463.254 1013.873 1086.398
76.25 1770.144 1586.221 1572.591 1086.989 1183.266
77.5 1876.57 1647.267 1608.635 1119.971 1225.669
78.75 1778.917 1578.163 1558.784 1131.39 1218.692
80 1619.627 1473.87 1561.234 1180.372 1241.394
81.25 1613.016 1533.523 1781.949 1363.387 1408.538
82.5 1968.865 1967.291 2183.172 1686.264 1793.648
83.75 2773.708 2729.23 2833.434 2091.161 2315.964
85 3482.746 3367.29 3349.034 2381.806 2752.42
86.25 3861.728 3618.261 3483.597 2440.772 2905.552
87.5 3742.667 3419.067 3222.973 2276.651 2772.764
88.75 3296.149 3015.305 2836.126 2021.31 2461.081
90 3002.228 2740.138 2661.92 1852.25 2244.317
91.25 3086.673 2817.356 2722.829 1858.366 2217.253
92.5 3313.165 2980.999 2838.036 1936.176 2344.243
93.75 3482.253 3073.331 2945.963 2050.914 2500.355
95 3578.05 3191.851 3157.637 2243.56 2663.474
96.25 3763.743 3388.051 3554.984 2494.27 2822.028
97.5 4022.937 3644.396 3928.472 2761.262 3025.158
98.75 4294.342 3865.714 4195.709 2946.175 3180.742
100 4348.498 3920.67 4224.712 2992.686 3238.457
101.25 4197.182 3810.43 4080.107 2916.683 3145.123
102.5 3881.667 3551.623 3764.633 2735.416 2924.729
103.75 3447.786 3138.002 3332.888 2473.809 2634.717
105 3114.175 2811.443 3049.811 2282.54 2435.095
106.25 2990.205 2714.563 2965.595 2208.927 2368.108
107.5 2948.718 2682.961 2925.003 2201.35 2343.345
