CO267_LIGHT 1 2 3 4 5
angle 1.061 -1.134 -0.851 0.582 1.445
whole 325.392 327.443 327.713 327.79 328.839
RPEtoOLM 66.777 66.557 66.281 66.379 66.25
RNFL 32.007 36.366 37.177 37.497 36.711
-3.75 1040.82 856.879 982.477 729.868 843.668
-2.5 1209.491 1044.864 1175.975 900.717 1044.249
-1.25 1521.207 1354.62 1553.117 1357.709 1464.681
0 2036.879 1843.401 2157.775 1989.535 2184.958
1.25 2630.262 2327.284 2821.525 2795.51 3080.325
2.5 3009.496 2690.7 3149.86 3103.197 3392.995
3.75 3252.437 2922.507 3342.37 3104.97 3368.384
5 3435.872 3027.072 3418.922 3150.895 3354.843
6.25 3494.785 3071.965 3479.012 3148.985 3332.14
7.5 3444.009 3063.67 3447.745 3083.495 3280.7
8.75 3229.113 2875.981 3275.983 2938.338 3176.917
10 2778.776 2494.619 2807.855 2569.159 2759.866
11.25 2458.075 2198.01 2460.919 2237.175 2386.984
12.5 2327.572 2062.379 2345.76 2066.133 2220.251
13.75 2319.452 2028.035 2312.603 2028.404 2186.077
15 2325.11 2036.825 2321.121 2039.268 2204.173
16.25 2320.517 2042.238 2327.288 2041.129 2208.046
17.5 2342.544 2057.081 2317.011 2038.305 2211.34
18.75 2391.706 2074.096 2337.988 2039.315 2214.37
20 2420.161 2096.102 2354.594 2028.336 2201.474
21.25 2439.085 2100.347 2361.518 2020.146 2189.13
22.5 2437.118 2103.681 2365.462 2017.563 2192.84
23.75 2449.757 2106.465 2380.815 2029.457 2211.802
25 2462.001 2130.196 2400.903 2056.783 2248.657
26.25 2494.544 2145.858 2411.688 2066.059 2270.599
27.5 2503.78 2136.869 2418.452 2080.076 2255.087
28.75 2504.414 2138.235 2434.744 2076.947 2253.973
30 2536.147 2160.478 2467.903 2088.761 2269.978
31.25 2566.997 2188.315 2500.736 2149.298 2308.88
32.5 2589.872 2204.214 2512.201 2167.231 2323.753
33.75 2617.58 2204.386 2527.409 2159.008 2347.818
35 2607.91 2202.413 2511.557 2141.263 2349.564
36.25 2472.422 2111.921 2402.407 2057.743 2240.115
37.5 2302.372 1953.146 2210.269 1913.278 2062.498
38.75 2141.874 1802.322 2045.958 1755.049 1922.315
40 2040.093 1703.54 1939.617 1656.272 1825.047
41.25 2000.32 1660.053 1889.374 1625.676 1761.819
42.5 1992.451 1649.601 1876.611 1613.741 1732.674
43.75 1991.545 1645.878 1886.598 1610.894 1731.353
45 1990.725 1651.23 1901.99 1609.682 1736.374
46.25 2021.486 1674.517 1925.659 1621.423 1743.057
47.5 2098.555 1738.454 1986.389 1668.482 1809.909
48.75 2206.514 1817.662 2085.804 1746.625 1919.554
50 2315.41 1894.587 2175.006 1838.816 2010.695
51.25 2415.683 1969.223 2251.274 1913.791 2073.964
52.5 2462.221 2010.546 2313.912 1958.526 2119.311
53.75 2443.138 2013.063 2310.201 1947.001 2104.112
55 2361.712 1958.359 2241.321 1874.83 2034.417
56.25 2236.145 1869.064 2121.003 1771.461 1930.363
57.5 2078.213 1756.525 1977.431 1665.564 1781.645
58.75 1925.787 1651.662 1840.395 1520.285 1636.375
60 1828.466 1585.66 1740.606 1411.755 1531.785
61.25 1756.27 1521.564 1664.556 1366.722 1465.244
62.5 1702.145 1465.076 1614.936 1328.249 1428.244
63.75 1671.96 1427.18 1576.161 1305.049 1413.123
65 1672.255 1394.316 1557.005 1290.365 1394.803
66.25 1665.18 1370.507 1542.53 1279.767 1380.795
67.5 1661.884 1359.173 1530.667 1278.555 1375.067
68.75 1663.672 1338.421 1531.533 1276.095 1379.468
70 1653.241 1320.997 1526.654 1261.022 1376.284
71.25 1638.382 1314.75 1513.975 1243.525 1360.283
72.5 1627.913 1290.724 1499.596 1227.788 1345.085
73.75 1625.956 1280.392 1493.484 1217.261 1340.028
75 1681.322 1343.21 1529.245 1266.026 1382.255
76.25 1834.629 1514.869 1699.921 1436.877 1546.252
77.5 1951.566 1630.456 1860.646 1548.56 1690.797
78.75 1922.636 1580.078 1827.654 1506.17 1628.621
80 1846.239 1499.392 1742.61 1446.755 1567.074
81.25 1986.566 1698.65 1934.834 1705.366 1837.28
82.5 2578.144 2487.713 2778.024 2503.18 2719.503
83.75 3576.173 3528.049 3960.919 3506.235 3825.992
85 4281.269 4301.884 4814.184 4229.381 4671.151
86.25 4423.603 4453.945 5186.012 4362.762 4829.517
87.5 3952.239 4020.085 4758.47 3878.715 4283.353
88.75 3230.978 3234.674 3998.213 3141.202 3369.874
90 2869.48 2767.88 3273.032 2791.626 2982.41
91.25 2979.175 3017.867 3478.818 3085.963 3308.131
92.5 3281.979 3520.838 4087.457 3569.455 3862.583
93.75 3526.58 3803.953 4510.036 3838.248 4200.871
95 3692.455 3753.309 4517.922 3759.387 4119.279
96.25 3843.53 3519.026 4258.594 3506.2 3829.56
97.5 4168.079 3500.268 4062.792 3425.553 3675.993
98.75 4515.53 3714.41 4174.418 3583.617 3832.758
100 4666.897 3855.014 4335.43 3704.067 3980.083
101.25 4460.752 3685.962 4198.575 3576.483 3839.993
102.5 4056.83 3330.945 3832.927 3235.878 3498.67
103.75 3542.794 2897.469 3341.247 2799.257 3054.244
105 3069.611 2518.45 2880.28 2453.145 2659.339
106.25 2867.083 2323.197 2612.169 2286.396 2449.094
107.5 2713.469 2186.335 2432.278 2155.863 2296.252
