YA315_DARK 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
angle 2.864 -0.047 0.676 0.762 0.749 0.562 0.511 1.404 1.462 -2.467 -3.809 -4.636 -1.981 3.168 -2.427
whole 326.049 326.567 326.845 326.128 325.989 326.41 325.044 326.574 326.747 324.768 326.893 327.163 325.009 325.661 327.438
RPEtoOLM 69.173 68.825 68.781 68.479 68.815 68.662 68.333 67.986 68.28 68.605 67.898 68.629 67.919 68.925 69.396
RNFL 30.89 30.934 30.799 30.785 30.665 31.853 31.088 31.222 30.562 29.643 30.11 29.772 30.581 30.733 30.417
-3.75 1031.648 1272.015 1011.333 1196.977 1422.431 1307.274 1435.579 1512.91 1466.714 1382.384 1214.463 1185.558 1415.273 1539.805 1561.886
-2.5 1171.321 1469.032 1137.452 1371.4 1575.387 1448.112 1565.039 1683.727 1649.288 1543.722 1393.844 1313.863 1551.849 1692.536 1753.32
-1.25 1581.844 2015.269 1537.231 1845.544 2101.357 1901.117 2017.913 2228.015 2172.694 2008.723 1839.02 1718.314 2019.915 2206.645 2332.628
0 2180.619 2852.336 2188.476 2576.6 2918.2 2664.74 2818.001 3076.842 3026.663 2818.492 2572.933 2400.117 2809.467 3009.986 3265.914
1.25 2685.66 3537.4 2757.973 3255.02 3611.011 3358.139 3553.162 3805.731 3708.323 3590.789 3190.145 2974.174 3457.739 3719.086 4070.82
2.5 3011.599 3962.08 3081.735 3670.191 4000.869 3752.297 3971.305 4219.957 4144.539 3977.381 3604.611 3319.208 3836.286 4094.972 4559.167
3.75 3099.825 4126.755 3227.666 3849.584 4135.588 3896.816 4113.27 4343.759 4280.801 4191.82 3790.245 3487.412 3973.074 4221.137 4733.056
5 3126.146 4122.808 3245.91 3905.275 4140.199 3938.937 4140.731 4391.536 4313.035 4289.301 3883.551 3533.188 4003.894 4234.55 4798.817
6.25 3153.131 4094.347 3252.038 3870.365 4093.153 3923.563 4119.018 4369.604 4280.712 4262.827 3852.749 3512.787 3942.348 4205.992 4742.839
7.5 3067.504 3952.767 3119.211 3743.87 3972.296 3803.538 3970.154 4194.31 4116.188 4088.32 3718.682 3382.093 3780.426 4047.054 4553.091
8.75 2801.894 3646.532 2843.836 3427.215 3652.574 3501.672 3626.793 3833.403 3754.65 3785.256 3434.849 3144.382 3515.202 3706.529 4193.573
10 2381.041 3139.111 2459.003 2949.801 3138.676 3007.273 3133.62 3305.262 3229.634 3282.695 3058.007 2785.577 3055.753 3200.344 3662.268
