YA315_LIGHT-dim 1 2 3 4 5
angle 0.064 0.192 -0.708 -0.279 -0.883
whole 326.022 326.707 325.584 325.117 325.261
RPEtoOLM 66.489 67.029 66.945 66.654 66.738
RNFL 32.044 30.798 31.352 31.006 31.204
-3.75 1123.267 1195.054 1138.483 1247.084 1073.938
-2.5 1276.846 1370.117 1302.336 1427.582 1192.08
-1.25 1763.436 1836.079 1806.035 1890.071 1595.775
0 2524.748 2626.052 2557.593 2681.409 2248.821
1.25 3229.049 3335.609 3272 3445.059 2883.4
2.5 3660.741 3761.008 3704.958 3920.818 3270.306
3.75 3852.608 3958.968 3853.599 4162.449 3446.255
5 3929.412 4029.705 3920.902 4248.296 3491.391
6.25 3893.193 3988.679 3883.508 4209.057 3475.317
7.5 3735.658 3849.322 3697.868 4035.963 3364.891
8.75 3455.127 3519.214 3378.768 3685.316 3090.271
10 2971.722 3003.262 2954.074 3198.502 2678.52
11.25 2571.831 2593.815 2569.082 2767.521 2320.621
12.5 2375.91 2423.476 2377.498 2556.58 2146.957
13.75 2319.026 2349.726 2314.011 2510.131 2094.875
15 2325.872 2328.002 2299.32 2515.34 2102.177
16.25 2323.163 2330.424 2293.943 2494.97 2098.433
17.5 2294.476 2322.552 2292.162 2477.031 2100.282
18.75 2293.509 2346.791 2305.644 2490.059 2095.651
20 2312.814 2354.609 2312.889 2511.662 2105.653
21.25 2315.029 2372.043 2331.529 2541.951 2133.506
22.5 2322.007 2380.251 2335.027 2562.637 2144.838
23.75 2349.175 2386.24 2341.991 2571.28 2158.545
25 2387.907 2418.778 2385.601 2581.297 2179.449
26.25 2405.575 2440.106 2405.013 2610.94 2208.349
27.5 2398.287 2446.574 2393.879 2624.599 2225.649
28.75 2413.739 2436.185 2403.05 2621.218 2222.336
30 2445.949 2453.519 2444.428 2638.967 2245.309
31.25 2434.663 2452.743 2453.897 2636.25 2269.654
32.5 2423.599 2434.613 2426.357 2612.401 2266.813
33.75 2422.169 2435.862 2413.313 2602.013 2254.814
35 2400.836 2429.595 2404.67 2587.573 2249.761
36.25 2298.754 2308.104 2311.972 2484.499 2162.078
37.5 2101.771 2119.746 2113.53 2280.058 1986.589
38.75 1928.205 1950.949 1954.616 2098.445 1826.8
40 1831.58 1857.387 1857.284 1996.991 1742.08
41.25 1785.078 1822.137 1812.544 1939.403 1700.144
42.5 1777.241 1803.966 1793.103 1925.007 1693.78
43.75 1781.304 1790.286 1785.442 1929.471 1697.489
45 1779.756 1796.925 1783.65 1943.183 1699.884
46.25 1816.37 1825.269 1826.743 1989.978 1724.532
47.5 1908.26 1906.531 1914.527 2059.936 1800.458
48.75 2012.694 2020.512 2023.802 2156.963 1919.046
50 2085.534 2110.815 2106.776 2241.819 2012.334
51.25 2130.697 2161.323 2156.162 2295.048 2045.102
52.5 2167.26 2196.808 2177.729 2327.323 2058.455
53.75 2224.936 2229.977 2205.598 2376.372 2089.079
55 2230.663 2216.101 2178.876 2379.138 2076.968
56.25 2100.385 2065.5 2043.508 2215.983 1964.23
57.5 1910.41 1873.76 1870.051 2025.004 1807.917
58.75 1786.29 1736.667 1752.392 1898.898 1698.555
60 1698.435 1663.489 1681.07 1810.22 1619.376
61.25 1630.809 1604.061 1619.009 1730.218 1558.818
62.5 1584.078 1560.817 1563.308 1660.904 1503.484
63.75 1531.327 1516.394 1528.898 1609.373 1457.956
65 1489.151 1473.414 1502.016 1582.572 1424.863
66.25 1453.416 1446.867 1466.774 1557.925 1410.868
67.5 1418.959 1427.964 1436.085 1527.41 1393.796
68.75 1397.41 1409.654 1404.234 1496.082 1369.011
70 1371.523 1384.537 1382.818 1464.565 1344.8
71.25 1350.558 1358.682 1367.476 1437.678 1332.263
72.5 1333.321 1344.393 1356.999 1429.234 1322.436
73.75 1359.767 1362.196 1372.911 1441.347 1338.865
75 1439.658 1442.208 1453.612 1517.528 1420.817
76.25 1539.805 1542.372 1550.541 1624.092 1516.076
77.5 1566.854 1562.153 1585.532 1654.486 1545.176
78.75 1545.978 1547.022 1569.884 1632.789 1523.426
80 1558.603 1559.486 1599.366 1652.002 1535.635
81.25 1864.896 1848.653 1912.937 1925.902 1802.502
82.5 2709.759 2612.965 2700.24 2726.487 2596.019
83.75 3601.649 3446.196 3596.093 3665.875 3591.319
85 4106.504 4056.018 4152.176 4282.788 4238.301
86.25 3972.656 4035.744 4078.928 4270.197 4250.71
87.5 3313.015 3429.503 3441.634 3613.205 3680.559
88.75 2643.331 2730.843 2745.786 2903.096 2931.168
90 2431.961 2450.935 2484.893 2525.327 2644.852
91.25 2628.669 2589.717 2663.626 2646.221 2895.372
92.5 2842.813 2836.389 2909.725 2867.467 3187.357
93.75 2961.509 3023.202 3085.058 3054.285 3294.839
95 3110.358 3194.817 3224.236 3257.799 3257.808
96.25 3272.529 3384.587 3388.654 3500.129 3293.419
97.5 3474.216 3629.007 3618.636 3729.301 3445.76
98.75 3702.84 3813.019 3840.44 3987.527 3681.47
100 3821.781 3884.04 3938.919 4095.099 3830.839
101.25 3789.151 3803.662 3863.459 4019.128 3800.633
102.5 3626.083 3566.846 3641.544 3777.874 3613.331
103.75 3251.707 3142.388 3264.102 3336.802 3287.67
105 2879.371 2777.685 2933.561 2935.462 2952.007
106.25 2699.701 2614.268 2758.222 2739.273 2774.163
107.5 2597.297 2493.123 2623.452 2602.58 2657.726
