YA604_LIGHT 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
angle -2.519 -1.936 -0.631 -0.979 -0.411 -1.885 -0.691 -1.447 -0.953 -1.478 -1.15 -3.225 -1.808 -0.868 -1.464
whole 334.729 332.58 332.906 333.195 334.718 334.077 334.232 332.822 333.545 334.254 334.286 332.343 332.456 333.222 332.344
RPEtoOLM 72.071 71.638 71.76 71.537 71.262 71.982 71.462 71.079 71.586 71.557 71.815 71.425 71.715 71.013 71.343
RNFL 35.34 35.427 35.087 35.708 35.944 35.947 35.01 34.978 35.103 35.233 34.511 34.861 35.254 35.272 34.265
-3.75 980.651 1096.989 1182.402 909.398 863.15 1132.761 1260.3 1388.633 1198.226 1236.217 1386.442 1288.749 1243.862 1066.434 1272.8
-2.5 1146.9 1257.775 1374.985 1065.841 1068.037 1322.42 1545.432 1582.64 1425.761 1458.5 1642.699 1416.748 1401.148 1330.333 1409.497
-1.25 1537.106 1680.534 1830.581 1443.485 1514.728 1748.495 2105.427 2064.133 1923.763 1939.092 2179.497 1784.847 1809.376 1784.478 1760.693
0 2116.367 2311.661 2479.189 1999.334 2141.974 2364.612 2879.122 2777.467 2599.109 2628.6 2929.272 2357.082 2399.608 2434.268 2333.244
1.25 2658.873 2921.274 3057.748 2600.729 2813.389 3020.915 3650.261 3524.305 3326.178 3345.998 3686.609 2867.03 3001.564 3116.631 2894.044
2.5 2994.246 3249.466 3406.918 2955.764 3240.788 3387.152 4146.687 3913.802 3720.211 3780.824 4170.782 3150.739 3347.22 3517.947 3215.707
3.75 3125.233 3369.626 3480.935 3071.063 3390.163 3520.18 4383.718 4085.397 3931.065 3993.854 4440.257 3265.01 3491.808 3719.277 3376.13
5 3112.94 3366.17 3457.097 3086.958 3426.504 3573.719 4481.567 4132.691 4016.29 4069.585 4502.433 3331.182 3554.345 3822.158 3427.261
6.25 3063.345 3306.772 3400.714 3012.862 3369.224 3564.795 4489.282 4102.829 4020.177 4073.704 4498.771 3323.518 3548.302 3819.822 3397.91
7.5 2958.186 3218.43 3290.542 2898.9 3234.733 3439.504 4333.529 3951.929 3875.283 3940.926 4350.349 3218.226 3437.897 3687.334 3265.749
8.75 2766.136 2996.308 3051.137 2692.16 3015.38 3196.05 3995.856 3647.467 3613.402 3650.214 4011.994 2997.99 3164.419 3376.309 3037.673
10 2451.745 2631.826 2678.845 2368.409 2647.398 2829.602 3488.54 3221.002 3173.977 3214.609 3534.199 2683.497 2821.159 3022.659 2712.575
11.25 2167.965 2302.751 2358.581 2076.358 2320.63 2495.506 3104.261 2881.007 2820.1 2859.209 3148.586 2420.054 2504.678 2666.006 2430.332
12.5 2033 2167.91 2198.659 1952.176 2149.308 2357.207 2911.187 2720.957 2662.819 2695.139 2965.899 2297.888 2361.358 2510.463 2302.785
13.75 1989.583 2127.671 2138.892 1909.042 2097.433 2319.77 2848.159 2663.07 2600.348 2637.775 2902.278 2252.324 2318.374 2452.668 2236.338
15 1969.813 2124.892 2122.821 1899.555 2082.138 2306.175 2831.573 2639.093 2576.214 2623.148 2879.915 2231.416 2306.257 2417.9 2213.733
16.25 1971.584 2125.17 2124.434 1893.225 2073.544 2301.418 2827.384 2620.064 2552.377 2621.104 2876.24 2219.432 2294.247 2412.577 2214.722
17.5 1975.896 2128.106 2125.551 1893.05 2068.559 2306.676 2825.877 2613.525 2548.138 2624.919 2878.648 2221.782 2280.614 2408.727 2224.937
18.75 1975.795 2139.374 2136.56 1896.305 2081.38 2308.779 2820.991 2624.04 2557.653 2624.331 2881.995 2224.096 2285.747 2420.063 2228.797
20 1980.449 2134.894 2155.971 1904.125 2093.443 2322.397 2830.784 2659.338 2570.287 2621.033 2897.401 2229.532 2300.156 2446.802 2230.549
21.25 1985.796 2134.993 2167.936 1913.566 2105.694 2337.788 2836.599 2662.959 2581.617 2629.033 2914.133 2243.625 2302.499 2455.229 2243.571
22.5 1994.158 2138.96 2166.398 1920.647 2107.325 2350.32 2845.209 2655.191 2589.508 2642.823 2934.91 2253.879 2300.971 2449.655 2260.63
23.75 1999.341 2143.826 2172.858 1936.604 2106.572 2366.946 2852.353 2665.149 2605.153 2661.626 2953.15 2276.136 2315.283 2447.109 2272.359
25 2013.538 2174.334 2193.237 1947.766 2135.511 2402.488 2897.435 2705.6 2633.854 2686.461 2982.495 2310.837 2344.884 2467.745 2303.647
