YA976_DARK-dim 1 2 3 4 5
angle 1.563 1.368 2.596 2.327 4.579
whole 322.515 324.485 323.612 321.884 321.816
RPEtoOLM 73.32 73.955 74.11 73.014 72.86
RNFL 32.223 33.895 33.294 32.906 31.51
-3.75 908.284 574.919 725.91 667.817 931.486
-2.5 1103.533 758.887 914.847 761.211 1105.14
-1.25 1730.014 1405.161 1432.645 1225.597 1538.207
0 2689.818 2400.415 2208.815 1828.549 2189.275
1.25 3618.586 3377.266 2968.234 2381.011 2802.058
2.5 3780.741 3740.775 3302.881 2783.847 3194.33
3.75 3559.315 3532.106 3471.819 2976.631 3348.213
5 3470.535 3419.564 3546.452 3058.795 3409.047
6.25 3501.909 3434.381 3524.445 3056.845 3453.061
7.5 3434.91 3373.746 3438.504 2973.807 3376.311
8.75 3253.692 3199.735 3243.851 2765.071 3169.031
10 2868.131 2836.148 2737.274 2415.1 2746.867
11.25 2477.173 2470.123 2383.019 2123.314 2405.407
12.5 2263.065 2225.718 2242.859 1989.489 2285.363
13.75 2200.347 2132.26 2198.179 1956.032 2258.575
15 2198.409 2116.055 2181.994 1965.592 2246.533
16.25 2207.329 2111.246 2202.476 1992.096 2247.308
17.5 2211.979 2130.79 2222.33 2006.209 2248.799
18.75 2216.157 2153.556 2223.804 2005.647 2256.05
20 2224.257 2168.055 2216.465 2002.695 2263.605
21.25 2223.848 2163.363 2200.187 1995.487 2239.069
22.5 2217.526 2155.708 2196.826 1987.664 2237.5
23.75 2231.949 2163.2 2213.978 2008.369 2281.177
25 2272.265 2197.843 2245.544 2036.31 2316.41
26.25 2279.312 2219.091 2265.257 2038.666 2316.923
27.5 2274.643 2221.592 2280.631 2022.15 2329.23
28.75 2270.327 2223.473 2301.946 2016.022 2358.998
30 2282.386 2238.145 2299.908 2035.963 2384.908
31.25 2285.177 2253.424 2289.694 2067.39 2401.062
32.5 2281.797 2261.538 2303.662 2091.157 2397.636
33.75 2294.727 2268.604 2329.041 2093.556 2387.523
35 2282.462 2234.412 2291.094 2058.086 2352.039
36.25 2173.042 2107.169 2159.335 1960.536 2239.163
37.5 1991.866 1940.81 2000.039 1804.013 2069.987
38.75 1851.138 1815.567 1874.863 1681.327 1939.577
40 1766.677 1740.702 1773.985 1603.821 1850.203
41.25 1714.614 1692.997 1728.969 1564.537 1799.694
42.5 1693.722 1669.294 1716.111 1552.022 1772.318
43.75 1694.534 1669.571 1708.904 1550.987 1760.421
45 1706.341 1687.875 1711.166 1554.469 1770.635
46.25 1738.421 1720.342 1739.653 1574.475 1808.518
47.5 1798.531 1786.198 1795.853 1621.085 1873.103
48.75 1868.35 1862.443 1860.344 1691.951 1961.736
50 1932.062 1928.868 1922.041 1771.697 2029.089
51.25 1997.211 1984.952 1995.193 1840.005 2084.036
52.5 2024.23 2003.876 2043.983 1872.61 2117.781
53.75 2018.211 1993.915 2036.34 1859.444 2111.791
55 1968.916 1958.796 1970.195 1810.367 2049.166
56.25 1846.43 1848.698 1845.844 1694.929 1919.801
57.5 1711.41 1715.784 1697.759 1559.17 1736.889
58.75 1582.601 1599.237 1546.465 1412.457 1557.45
60 1510.019 1519.31 1465.343 1341.781 1468.308
61.25 1461.061 1473.292 1417.901 1311.511 1431.367
62.5 1428.008 1451.905 1378.655 1293.097 1414.745
63.75 1394.24 1418.917 1346.852 1268.816 1387.911
65 1375.197 1392.038 1334.538 1245.595 1380.701
66.25 1357.43 1355.846 1307.872 1204.308 1380.237
67.5 1337.833 1339.173 1295.812 1193.764 1363.258
68.75 1326.761 1313.155 1287.88 1208.949 1372.823
70 1314.324 1273.075 1295.107 1205.301 1363.813
71.25 1286.487 1246.694 1290.585 1196.415 1362.021
72.5 1265.179 1229.575 1273.518 1172.888 1361.908
73.75 1262.693 1221.712 1262.002 1158.291 1372.671
75 1300.308 1295.265 1301.41 1194.544 1401.161
76.25 1495.986 1508.597 1475.359 1332.143 1539.072
77.5 1601.786 1616.759 1571.861 1422.714 1629.265
78.75 1514.941 1539.159 1495.84 1364.137 1577.315
80 1402.929 1423.762 1386.508 1297.921 1489.289
81.25 1428.829 1429.53 1428.108 1360.181 1564.398
82.5 1873.32 1888.899 1965.222 1817.893 2107.186
83.75 2879.069 2901.25 3032.118 2734.25 3120.47
85 3957.828 3954.218 4040.497 3668.16 4087.918
86.25 4415.225 4398.699 4440.588 4041.834 4463.539
87.5 4082.951 4070.913 4019.917 3698.548 4108.877
88.75 3383.673 3401.206 3300.893 3059.135 3457.328
90 3086.332 3098.697 3107.169 2823.383 3162.637
91.25 3349.663 3396.11 3495.543 3081.445 3365.587
92.5 3797.912 3889.59 4020.918 3487.241 3697.4
93.75 4029.704 4086.747 4220.632 3679.658 3765.519
95 3787.892 3813.327 3879.342 3486.299 3572.019
96.25 3407.381 3393.648 3402.766 3170.613 3388.202
97.5 3320.56 3326.798 3320.165 3096.709 3473.36
98.75 3460.561 3518.983 3479.615 3228.094 3705.666
100 3533.079 3569.123 3552.278 3271.543 3853.344
101.25 3489.572 3464.935 3475.425 3179.913 3794.732
102.5 3362.17 3297.133 3275.758 3003.966 3598.808
103.75 3082.817 3009.89 2935.81 2718.35 3276.166
105 2733.699 2704.361 2601.031 2425.242 2928.238
106.25 2509.29 2531.015 2404.697 2253.747 2697.296
107.5 2380.228 2403.726 2268.532 2139.922 2536.245
